"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"SL","2012-10-03","90.7","null","null","Evan Longoria",446334,453562,"home_run","hit_into_play_score",,,,,"5","Evan Longoria homers (17) on a fly ball to center field.","R","R","R","TB","BAL","X","null","fly_ball",3,2,2012,"0.9847250000000000","0.40496666666666666667","0.1590","2.5330","null","null","null",1,6,"Bot","120.48","17.07",,,"null",,"null",,,,,,,"3.6900","1.7100","null","null","null","null","null","null",320151,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",42,"6"
"FF","2012-10-03","90.2","null","null","Dan Johnson",430681,453307,"home_run","hit_into_play_score",,,,,"5","Dan Johnson homers (2) on a fly ball to right field.    Dayan Viciedo scores.","R","L","L","CLE","CWS","X","null","fly_ball",1,0,2012,"0.43084166666666666667","1.7437000000000000","-0.2100","2.1820","null","null","493364.00",2,5,"Top","230.92","55.22",,,"null",,"null",,,,,,,"3.3400","1.6000","null","null","null","null","null","null",320153,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",37,"2"
"FF","2012-10-03","91.0","null","null","Paul Konerko",117244,453307,"home_run","hit_into_play_score",,,,,"1","Paul Konerko homers (26) on a fly ball to left field.   Ray Olmedo scores.","R","R","L","CLE","CWS","X","null","fly_ball",1,2,2012,"0.85251666666666666667","1.4140333333333333","-0.5880","3.1170","408232.00","null","null",2,5,"Top","23.09","64.26",,,"null",,"null",,,,,,,"3.5300","1.6900","null","null","null","null","null","null",320153,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",35,"4"
"CH","2012-10-03","83.8","null","null","Robinson Cano",429664,489150,"home_run","hit_into_play_score",,,,,"5","Robinson Cano homers (33) on a fly ball to right field.    Alex Rodriguez scores.","R","L","R","NYY","BOS","X","null","fly_ball",0,0,2012,"-1.07911666666666666667","1.20476666666666666667","-0.0880","2.6490","null","121347.00","null",1,5,"Bot","233.94","76.31",,,"null",,"null",,,,,,,"3.5300","1.6600","null","null","null","null","null","null",320152,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",42,"1"
"FF","2012-10-03","93.6","null","null","Ike Davis",477195,429985,"home_run","hit_into_play_score",,,,,"7","Ike Davis homers (32) on a fly ball to left field.","R","L","R","MIA","NYM","X","null","fly_ball",0,0,2012,"-0.92325000000000000000","1.3022333333333333","-0.3300","2.0180","null","null","null",1,6,"Top","23.09","89.36",,,"null",,"null",,,,,,,"3.4300","1.5900","null","null","null","null","null","null",320159,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",39,"1"
"FF","2012-10-03","94.1","null","null","Ryan Roberts",440251,501957,"home_run","hit_into_play_score",,,,,"11","Ryan Roberts homers (12) on a fly ball to left field.","R","R","R","TB","BAL","X","null","fly_ball",1,1,2012,"-0.35405833333333333333","1.8970666666666667","-0.2110","3.4890","null","null","null",1,4,"Bot","40.16","76.31",,,"null",,"null",,,,,,,"3.1300","1.4100","null","null","null","null","null","null",320151,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",28,"3"
"FF","2012-10-03","92.9","null","null","Chris Denorfia",456121,502139,"home_run","hit_into_play_score",,,,,"6","Chris Denorfia homers (8) on a fly ball to right field.","R","R","R","MIL","SD","X","null","fly_ball",1,0,2012,"-0.40555000000000000000","1.4771000000000000","0.7980","2.6950","null","null","null",1,4,"Top","221.89","81.33",,,"null",,"null",,,,,,,"3.2600","1.5000","null","null","null","null","null","null",320161,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",32,"2"
"CH","2012-10-03","83.7","null","null","Evan Longoria",446334,501957,"home_run","hit_into_play_score",,,,,"2","Evan Longoria homers (16) on a fly ball to left field.","R","R","R","TB","BAL","X","null","fly_ball",3,2,2012,"-0.31091666666666666667","1.7910000000000000","-0.0100","3.1890","null","null","null",0,4,"Bot","33.13","45.18",,,"null",,"null",,,,,,,"3.6900","1.7100","null","null","null","null","null","null",320151,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",26,"6"
"FT","2012-10-03","93.0","null","null","Ryan Zimmerman",475582,424324,"home_run","hit_into_play_score",,,,,"6","Ryan Zimmerman homers (25) on a fly ball to right field.","R","R","L","WSH","PHI","X","null","fly_ball",1,2,2012,"1.0403916666666667","1.3022333333333333","0.3190","2.6790","null","null","null",0,4,"Bot","227.91","92.37",,,"null",,"null",,,,,,,"3.5600","1.6800","null","null","null","null","null","null",320160,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",29,"5"
"SL","2012-10-03","82.4","null","null","Robinson Cano",429664,493137,"home_run","hit_into_play_score",,,,,"9","Robinson Cano homers (32) on a fly ball to right field.    Alex Rodriguez scores.","R","L","R","NYY","BOS","X","null","fly_ball",0,0,2012,"0.73840000000000000000","0.88800000000000000000","0.4930","2.0530","null","null","121347.00",1,3,"Bot","214.86","55.22",,,"null",,"null",,,,,,,"3.5300","1.6600","null","null","null","null","null","null",320152,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",26,"1"
"SI","2012-10-03","83.5","null","null","A.J. Pollock",572041,433585,"home_run","hit_into_play_score",,,,,"11","A.  J.   Pollock homers (2) on a fly ball to left field.","R","R","L","ARI","COL","X","null","fly_ball",3,1,2012,"0.9861166666666667","1.08150000000000000000","-0.8970","3.0740","null","null","null",1,3,"Bot","41.16","66.27",,,"null",,"null",,,,,,,"3.4300","1.5800","null","null","null","null","null","null",320155,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",20,"5"
"KC","2012-10-03","80.0","null","null","Scott Hairston",430668,543408,"home_run","hit_into_play_score",,,,,"4","Scott Hairston homers (20) on a line drive to left field.   Ike Davis scores.","R","R","R","MIA","NYM","X","null","line_drive",0,0,2012,"0.58253333333333333333","-0.86926666666666666667","-0.3080","2.0620","null","477195.00","null",1,4,"Top","18.07","72.29",,,"null",,"null",,,,,,,"3.2100","1.3800","null","null","null","null","null","null",320159,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",24,"1"
"FC","2012-10-03","84.7","null","null","Bryan LaHair",445933,429440,"home_run","hit_into_play_score",,,,,"11","Bryan LaHair homers (16) on a fly ball to left field.","R","L","R","CHC","HOU","X","null","fly_ball",0,1,2012,"-0.74929166666666666667","0.86650000000000000000","-0.9210","2.9770","null","null","null",0,2,"Bot","62.25","56.22",,,"null",,"null",,,,,,,"3.6700","1.7400","null","null","null","null","null","null",320157,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",15,"2"
"FF","2012-10-03","91.8","null","null","Dan Johnson",430681,453307,"home_run","hit_into_play_score",,,,,"2","Dan Johnson homers (1) on a fly ball to right field.    Dayan Viciedo scores.","R","L","L","CLE","CWS","X","null","fly_ball",2,2,2012,"0.38491666666666666667","1.5487666666666667","0.1160","3.1390","null","null","493364.00",0,2,"Top","216.87","45.18",,,"null",,"null",,,,,,,"3.3400","1.6000","null","null","null","null","null","null",320153,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",10,"7"
"FF","2012-10-03","92.2","null","null","Andres Torres",400083,543408,"home_run","hit_into_play_score",,,,,"13","Andres Torres homers (3) on a line drive to right field.","R","L","R","MIA","NYM","X","null","line_drive",2,0,2012,"-0.81052500000000000000","1.3839333333333333","-0.0290","1.3810","null","null","null",0,3,"Top","215.86","61.24",,,"null",,"null",,,,,,,"3.2900","1.5100","null","null","null","null","null","null",320159,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",15,"3"
"FC","2012-10-03","91.9","null","null","Curtis Granderson",434158,493137,"home_run","hit_into_play_score",,,,,"8","Curtis Granderson homers (42) on a fly ball to right field.    Robinson Cano scores.    Nick Swisher scores.","R","L","R","NYY","BOS","X","null","fly_ball",0,0,2012,"-0.40137500000000000000","1.6949666666666667","0.2150","1.5080","null","429664.00","430897.00",1,2,"Bot","211.85","72.29",,,"null",,"null",,,,,,,"3.1800","1.5700","null","null","null","null","null","null",320152,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",16,"1"
"FF","2012-10-03","92.8","null","null","Evan Longoria",446334,501957,"home_run","hit_into_play_score",,,,,"2","Evan Longoria homers (15) on a line drive to left field.","R","R","R","TB","BAL","X","null","line_drive",0,0,2012,"-0.20515000000000000000","1.6992666666666667","-0.1560","3.3910","null","null","null",2,1,"Bot","47.19","66.27",,,"null",,"null",,,,,,,"3.6900","1.7100","null","null","null","null","null","null",320151,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",6,"1"
"FF","2012-10-02","93.8","null","null","Raul Ibanez",116380,457732,"home_run","hit_into_play_score",,,,,"8","Raul Ibanez homers (19) on a line drive to right field.    Curtis Granderson scores.","R","L","R","NYY","BOS","X","null","line_drive",1,2,2012,"-0.58368333333333333333","1.7623333333333333","-0.1860","2.0860","null","null","434158.00",0,9,"Bot","200.80","53.21",,,"null",,"null",,,,,,,"3.3800","1.6700","null","null","null","null","null","null",320137,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",72,"4"
"CU","2012-10-02","79.6","null","null","Travis Hafner",400098,408241,"home_run","hit_into_play_score",,,,,"5","Travis Hafner homers (12) on a fly ball to right field.    Jason Donald scores.","R","L","R","CLE","CWS","X","null","fly_ball",1,0,2012,"0.51712500000000000000","-0.17840000000000000000","-0.0860","2.3890","null","null","453228.00",0,9,"Bot","228.92","92.37",,,"null",,"null",,,,,,,"3.3900","1.7300","null","null","null","null","null","null",320138,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",64,"2"
"FF","2012-10-02","92.4","null","null","Aaron Hill",431094,429783,"home_run","hit_into_play_score",,,,,"4","Aaron Hill homers (26) on a line drive to left field.   Tyler Graham scores.    Gerardo Parra scores.","R","R","R","ARI","COL","X","null","line_drive",0,0,2012,"-0.39302500000000000000","1.9228666666666667","-0.4900","2.5020","488917.00","null","467827.00",2,9,"Bot","29.12","51.20",,,"null",,"null",,,,,,,"3.2900","1.4800","null","null","null","null","null","null",320140,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",75,"1"
"FF","2012-10-02","91.5","null","null","James Loney",425766,400089,"home_run","hit_into_play_score",,,,,"6","James Loney homers (6) on a fly ball to right field.","R","L","R","NYY","BOS","X","null","fly_ball",2,1,2012,"-0.35266666666666666667","1.5989333333333333","0.6740","2.7960","null","null","null",0,9,"Top","209.84","44.18",,,"null",,"null",,,,,,,"3.7900","1.8500","null","null","null","null","null","null",320137,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",66,"4"
"FF","2012-10-02","98.3","null","null","Jeff Francoeur",425796,500903,"home_run","hit_into_play_score",,,,,"4","Jeff Francoeur homers (16) on a fly ball to center field.","R","R","R","KC","DET","X","null","fly_ball",0,0,2012,"-0.78686666666666666667","1.5301333333333333","-0.5460","2.4700","null","null","null",0,8,"Bot","93.37","21.08",,,"null",,"null",,,,,,,"3.4400","1.6400","null","null","null","null","null","null",320141,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",65,"1"
"FF","2012-10-02","95.1","null","null","Dayan Viciedo",493364,453198,"home_run","hit_into_play_score",,,,,"5","Dayan Viciedo homers (24) on a fly ball to center field.   Jose Lopez scores.","R","R","R","CLE","CWS","X","null","fly_ball",1,0,2012,"-1.00675000000000000000","1.23200000000000000000","0.0280","2.7440","null","null","430946.00",0,9,"Top","134.54","11.04",,,"null",,"null",,,,,,,"3.3200","1.5400","null","null","null","null","null","null",320138,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",57,"2"
"FF","2012-10-02","92.8","null","null","Darin Ruf",573131,461325,"home_run","hit_into_play_score",,,,,"7","Darin Ruf homers (3) on a fly ball to left field.","R","R","R","WSH","PHI","X","null","fly_ball",0,2,2012,"-0.58785833333333333333","1.9185666666666667","-0.6470","2.0190","null","null","null",0,8,"Top","59.24","48.19",,,"null",,"null",,,,,,,"3.6100","1.6600","null","null","null","null","null","null",320145,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",65,"3"
"SI","2012-10-02","93.0","null","null","A.J. Ellis",454560,150407,"home_run","hit_into_play_score",,,,,"7","A.  J.   Ellis homers (13) on a fly ball to right center field.    Andre Ethier scores.","R","R","R","LAD","SF","X","null","fly_ball",3,2,2012,"-1.3546666666666667","1.5645333333333333","-0.2820","1.7720","null","null","444843.00",0,7,"Bot","173.69","36.14",,,"null",,"null",,,,,,,"3.4100","1.5800","null","null","null","null","null","null",320147,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",55,"9"
"CU","2012-10-02","80.5","null","null","John McDonald",150348,446861,"home_run","hit_into_play_score",,,,,"5","John McDonald homers (6) on a fly ball to left field.   Jason Kubel scores.","R","R","R","ARI","COL","X","null","fly_ball",1,0,2012,"0.50181666666666666667","0.15986666666666666667","-0.2550","2.4900","null","430585.00","null",1,7,"Bot","18.07","86.35",,,"null",,"null",,,,,,,"3.2700","1.5300","null","null","null","null","null","null",320140,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",53,"2"
"CH","2012-10-02","83.1","null","null","Adam LaRoche",425560,458676,"home_run","hit_into_play_score",,,,,"11","Adam LaRoche homers (33) on a fly ball to right field.","R","L","R","WSH","PHI","X","null","fly_ball",1,0,2012,"-1.4980083333333333","1.3567000000000000","-0.3750","3.7470","null","null","null",0,6,"Bot","221.89","80.32",,,"null",,"null",,,,,,,"3.6000","1.7000","null","null","null","null","null","null",320145,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",50,"2"
"FF","2012-10-02","94.6","null","null","Jonny Gomes",430404,457448,"home_run","hit_into_play_score",,,,,"4","Jonny Gomes homers (18) on a fly ball to left field.","R","R","L","OAK","TEX","X","null","fly_ball",1,2,2012,"0.93601666666666666667","1.6018000000000000","-0.5890","2.5720","null","null","null",2,6,"Bot","50.20","62.25",,,"null",,"null",,,,,,,"3.3500","1.5100","null","null","null","null","null","null",320148,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",44,"4"
"FT","2012-10-02","90.7","null","null","Denard Span",452655,554432,"home_run","hit_into_play_score",,,,,"6","Denard Span homers (4) on a line drive to right field.    Eduardo Escobar scores.","R","L","R","TOR","MIN","X","null","line_drive",0,0,2012,"-1.7860833333333333","0.31896666666666666667","0.3000","2.2340","null","null","500871.00",0,6,"Top","211.85","66.27",,,"null",,"null",,,,,,,"3.3700","1.5900","null","null","null","null","null","null",320143,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",39,"1"
"FF","2012-10-02","88.7","null","null","Garrett Jones",434540,462102,"home_run","hit_into_play_score",,,,,"2","Garrett Jones homers (27) on a fly ball to right field.    Alex Presley scores.","R","L","R","PIT","ATL","X","null","fly_ball",2,0,2012,"-0.54471666666666666667","1.8397333333333333","-0.2270","3.3540","null","502100.00","null",1,5,"Bot","213.86","61.24",,,"null",,"null",,,,,,,"3.7300","1.6700","null","null","null","null","null","null",320135,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",42,"3"
"KN","2012-10-02","74.1","null","null","Rob Brantly",542963,285079,"home_run","hit_into_play_score",,,,,"12","Rob Brantly homers (3) on a fly ball to right field.","R","L","R","MIA","NYM","X","null","fly_ball",1,0,2012,"-0.13000000000000000000","0.77190000000000000000","0.1100","3.5100","null","null","null",0,5,"Bot","206.83","70.28",,,"null",,"null",,,,,,,"3.3000","1.4600","null","null","null","null","null","null",320144,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",33,"2"
"FC","2012-10-02","85.8","null","null","Scott Rolen",121409,112020,"home_run","hit_into_play_score",,,,,"5","Scott Rolen homers (8) on a fly ball to left field.","R","R","R","STL","CIN","X","null","fly_ball",0,0,2012,"0.03839166666666666667","0.79196666666666666667","0.2060","2.3610","null","null","null",1,4,"Top","51.20","50.20",,,"null",,"null",,,,,,,"3.4600","1.6600","null","null","null","null","null","null",320139,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",29,"1"
"FF","2012-10-02","93.2","null","null","Kelly Johnson",430637,461872,"home_run","hit_into_play_score",,,,,"9","Kelly Johnson homers (16) on a line drive to right center field.    J.  P.   Arencibia scores.","R","L","R","TOR","MIN","X","null","line_drive",3,2,2012,"-1.05128333333333333333","1.3624333333333333","0.4800","1.8650","null","null","450317.00",2,4,"Bot","168.67","35.14",,,"null",,"null",,,,,,,"3.5000","1.7000","null","null","null","null","null","null",320143,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",28,"8"
"FF","2012-10-02","89.4","null","null","Shin-Soo Choo",425783,408241,"home_run","hit_into_play_score",,,,,"8","Shin-Soo Choo homers (16) on a fly ball to right center field.","R","L","R","CLE","CWS","X","null","fly_ball",0,0,2012,"-0.55724166666666666667","1.9372000000000000","-0.0900","1.5570","null","null","null",0,4,"Bot","182.73","35.14",,,"null",,"null",,,,,,,"3.2400","1.5000","null","null","null","null","null","null",320138,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",24,"1"
"CH","2012-10-02","84.6","null","null","Darin Ruf",573131,452733,"home_run","hit_into_play_score",,,,,"14","Darin Ruf homers (2) on a fly ball to left field.","R","R","L","WSH","PHI","X","null","fly_ball",2,2,2012,"1.2171333333333333","1.3294666666666667","0.1000","1.4910","null","null","null",0,4,"Top","23.09","96.39",,,"null",,"null",,,,,,,"3.6100","1.6600","null","null","null","null","null","null",320145,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",26,"5"
"KN","2012-10-02","73.2","null","null","Gorkys Hernandez",491676,285079,"home_run","hit_into_play_score",,,,,"1","Gorkys Hernandez homers (3) on a fly ball to left field.","R","R","R","MIA","NYM","X","null","fly_ball",2,1,2012,"-0.50018333333333333333","0.80630000000000000000","-0.6700","2.8900","null","null","null",1,4,"Bot","42.17","65.26",,,"null",,"null",,,,,,,"3.3000","1.4500","null","null","null","null","null","null",320144,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",24,"4"
"FF","2012-10-02","93.4","null","null","Martin Maldonado",455117,542914,"home_run","hit_into_play_score",,,,,"5","Martin Maldonado hits a grand slam (8) to left center field.   Norichika Aoki scores.    Ryan Braun scores.    Travis Ishikawa scores.","R","R","R","MIL","SD","X","null","fly_ball",2,2,2012,"-0.11469166666666666667","1.3595666666666667","-0.0500","2.6750","493114.00","460075.00","448170.00",2,3,"Bot","61.24","44.18",,,"null",,"null",,,,,,,"3.4400","1.5100","null","null","null","null","null","null",320146,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",25,"5"
"CH","2012-10-02","87.2","null","null","Chris Davis",448801,448306,"home_run","hit_into_play_score",,,,,"4","Chris Davis homers (33) on a fly ball to center field.","R","L","R","TB","BAL","X","null","fly_ball",1,1,2012,"-0.72285000000000000000","1.05713333333333333333","-0.3670","2.9300","null","null","null",2,4,"Top","110.44","8.03",,,"null",,"null",,,,,,,"3.7300","1.7100","null","null","null","null","null","null",320136,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",22,"3"
"CH","2012-10-02","79.6","null","null","Joaquin Arias",435078,425626,"home_run","hit_into_play_score",,,,,"9","Joaquin Arias homers (5) on a fly ball to left center field.","R","R","L","LAD","SF","X","null","fly_ball",1,1,2012,"1.0682250000000000","1.09870000000000000000","0.3970","2.0760","null","null","null",0,3,"Top","90.36","32.13",,,"null",,"null",,,,,,,"3.4400","1.6700","null","null","null","null","null","null",320147,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",17,"3"
"FF","2012-10-02","87.6","null","null","Kyle Seager",572122,429717,"home_run","hit_into_play_score",,,,,"11","Kyle Seager homers (20) on a fly ball to right field.","R","L","R","SEA","LAA","X","null","fly_ball",3,1,2012,"-0.86619166666666666667","0.85360000000000000000","-0.4810","3.4530","null","null","null",2,1,"Bot","186.75","27.11",,,"null",,"null",,,,,,,"3.3000","1.4300","null","null","null","null","null","null",320134,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",8,"5"
