"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"SL","2012-10-03","85.5","null","null","Derek Norris",519083,468396,"home_run","hit_into_play_score",,,,,"6","Derek Norris homers (7) on a line drive to left field.","R","R","R","OAK","TEX","X","null","line_drive",0,2,2012,"-0.18427500000000000000","0.24586666666666666667","0.3600","2.2670","null","null","null",0,8,"Bot","63.25","54.22",,,"null",,"null",,,,,,,"3.2700","1.4500","null","null","null","null","null","null",320163,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",74,"3"
"FT","2012-10-03","93.3","null","null","Dan Johnson",430681,502260,"home_run","hit_into_play_score",,,,,"8","Dan Johnson homers (3) on a line drive to right field.","R","L","R","CLE","CWS","X","null","line_drive",2,1,2012,"-1.18070833333333333333","0.59416666666666666667","-0.1960","2.0880","null","null","null",0,9,"Top","221.89","60.24",,,"null",,"null",,,,,,,"3.3400","1.6000","null","null","null","null","null","null",320153,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",71,"4"
"FF","2012-10-03","92.3","null","null","Dayan Viciedo",493364,502260,"home_run","hit_into_play_score",,,,,"6","Dayan Viciedo homers (25) on a fly ball to right field.","R","R","R","CLE","CWS","X","null","fly_ball",1,1,2012,"-0.87593333333333333333","1.10156666666666666667","0.5180","2.3120","null","null","null",0,9,"Top","215.86","77.31",,,"null",,"null",,,,,,,"3.2900","1.5400","null","null","null","null","null","null",320153,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",70,"3"
"FF","2012-10-03","94.8","null","null","Michael Morse",434604,449097,"home_run","hit_into_play_score",,,,,"4","Michael Morse homers (18) on a fly ball to right center field.    Bryce Harper scores.","R","R","R","WSH","PHI","X","null","fly_ball",1,2,2012,"-1.2224583333333333","1.18470000000000000000","-0.4230","2.4290","null","null","547180.00",0,8,"Bot","189.76","51.20",,,"null",,"null",,,,,,,"3.4900","1.5800","null","null","null","null","null","null",320160,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",62,"9"
"SL","2012-10-03","80.5","null","null","Casper Wells",489413,446264,"home_run","hit_into_play_score",,,,,"7","Casper Wells homers (10) on a fly ball to left field.   Trayvon Robinson scores.    Carlos Triunfel scores.","R","R","R","SEA","LAA","X","null","fly_ball",2,2,2012,"0.17616666666666666667","-0.50376666666666666667","-0.6300","2.2350","null","477054.00","508892.00",2,7,"Bot","34.14","64.26",,,"null",,"null",,,,,,,"3.6800","1.6400","null","null","null","null","null","null",320149,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",63,"5"
"FT","2012-10-03","93.9","null","null","Juan Rivera",407487,466948,"home_run","hit_into_play_score",,,,,"6","Juan Rivera homers (9) on a fly ball to center field.   Elian Herrera scores.","R","R","R","LAD","SF","X","null","fly_ball",2,0,2012,"-1.5578500000000000","1.27930000000000000000","0.4030","2.6040","null","null","467070.00",1,8,"Bot","118.47","24.10",,,"null",,"null",,,,,,,"3.4600","1.6600","null","null","null","null","null","null",320162,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",60,"3"
"SL","2012-10-03","81.0","null","null","Justin Maxwell",452239,425861,"home_run","hit_into_play_score",,,,,"8","Justin Maxwell homers (18) on a fly ball to left field.   Jed Lowrie scores.    Matt Dominguez scores.","R","R","R","CHC","HOU","X","null","fly_ball",0,1,2012,"0.43362500000000000000","0.38920000000000000000","-0.2010","2.0520","null","476704.00","518625.00",0,8,"Top","44.18","61.24",,,"null",,"null",,,,,,,"3.5100","1.7400","null","null","null","null","null","null",320157,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",61,"2"
"FT","2012-10-03","93.4","null","null","Curtis Granderson",434158,452764,"home_run","hit_into_play_score",,,,,"11","Curtis Granderson homers (43) on a fly ball to right center field.","R","L","R","NYY","BOS","X","null","fly_ball",3,2,2012,"-1.5829000000000000","1.3094000000000000","-0.8570","3.2440","null","null","null",0,7,"Bot","191.77","46.18",,,"null",,"null",,,,,,,"3.1800","1.5700","null","null","null","null","null","null",320152,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",63,"6"
"FF","2012-10-03","94.5","null","null","Alex Castellanos",543008,466948,"home_run","hit_into_play_score",,,,,"7","Alex Castellanos homers (1) on a fly ball to left field.","R","R","R","LAD","SF","X","null","fly_ball",3,2,2012,"-0.97474166666666666667","1.5545000000000000","-0.6730","2.1150","null","null","null",1,8,"Bot","20.08","81.33",,,"null",,"null",,,,,,,"3.4400","1.6500","null","null","null","null","null","null",320162,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",58,"7"
"FC","2012-10-03","86.6","null","null","Tyler Moore",489138,424324,"home_run","hit_into_play_score",,,,,"5","Tyler Moore homers (10) on a fly ball to left field.","R","R","L","WSH","PHI","X","null","fly_ball",3,2,2012,"-0.46678333333333333333","0.71600000000000000000","0.2420","2.5350","null","null","null",1,6,"Bot","18.07","72.29",,,"null",,"null",,,,,,,"3.4400","1.5700","null","null","null","null","null","null",320160,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",47,"7"
"SL","2012-10-03","82.5","null","null","Cameron Maybin",457727,445213,"home_run","hit_into_play_score",,,,,"5","Cameron Maybin homers (8) on a fly ball to left center field.   Chris Denorfia scores.","R","R","R","MIL","SD","X","null","fly_ball",1,1,2012,"0.20400000000000000000","0.03803333333333333333","-0.0110","2.9280","null","null","456121.00",0,6,"Top","64.26","43.17",,,"null",,"null",,,,,,,"3.6600","1.6500","null","null","null","null","null","null",320161,"null","null","null","null","null","null","null","null","null","null","null","null","2.00",1,0,3,"null",49,"3"
